age	job	marital	education	default	housing	loan	contact	month	day_of_week	duration	campaign	pdays	previous	poutcome	emp.var.rate	cons.price.idx	cons.conf.idx	euribor3m	nr.employed	y
30	1	1	1	1	1	1	1	1	1	487	2	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6925170068027212	0.024574669187146014	0
39	2	2	2	1	2	1	2	1	1	346	4	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9138321995464851	0.7194706994328897	0
25	2	1	2	1	1	1	2	2	2	227	1	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9623582766439907	1.0	0
47	3	1	3	1	1	1	1	3	3	58	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.6126984126984125	0.7557655954631386	0
32	2	2	3	1	2	1	1	4	4	128	3	999	2	2	-0.04166666666666663	0.5572876071706929	0.11297071129707081	-0.8870748299319728	-1.0	0
32	3	2	3	1	1	1	1	4	3	290	4	999	0	1	-0.04166666666666663	0.5572876071706929	0.11297071129707081	-0.8893424036281179	-1.0	0
31	2	3	4	1	2	1	1	3	5	68	1	999	1	2	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5954648526077093	0.7557655954631386	0
36	4	2	5	1	2	1	1	5	4	148	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.965079365079365	1.0	0
36	3	1	2	1	2	1	2	1	2	97	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9156462585034013	0.7194706994328897	0
47	1	1	5	1	1	1	2	2	4	211	2	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9605442176870749	1.0	0
29	3	2	2	1	2	1	1	1	1	553	2	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6925170068027212	0.024574669187146014	0
27	2	2	3	1	2	1	1	5	2	698	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
44	3	3	3	1	2	1	1	5	2	191	6	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9600907029478456	1.0	0
46	3	3	3	1	1	1	2	5	3	59	4	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9623582766439907	1.0	0
50	1	1	5	1	2	2	1	5	5	849	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9619047619047618	1.0	1
39	5	3	2	1	2	1	1	6	3	222	1	12	2	3	-0.33333333333333326	-0.08963367108339071	0.33891213389121333	-0.998185941043084	-0.6589792060491533	1
29	5	2	3	1	1	2	1	7	2	626	3	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9646258503401357	1.0	0
40	6	1	2	1	2	2	1	7	2	119	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
38	5	1	4	1	1	1	1	7	3	479	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	1
36	5	3	4	1	2	1	2	1	2	446	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9142857142857139	0.7194706994328897	0
34	3	1	3	1	2	1	1	7	5	109	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9628117913832199	1.0	0
38	5	1	3	1	1	2	1	6	5	113	1	999	1	2	-0.33333333333333326	-0.4996102883865916	-0.93305439330544	-0.5229024943310658	0.024574669187146014	0
51	5	2	3	1	2	1	1	2	1	151	2	999	0	1	-0.7916666666666665	-0.40607950116913116	-0.16317991631799167	-0.7129251700680272	-0.14858223062382336	0
48	5	1	3	1	2	1	1	7	4	42	7	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9623582766439907	1.0	0
28	1	2	1	1	1	1	2	2	2	525	1	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9179138321995464	1.0	0
36	1	1	6	1	1	1	2	1	2	57	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9156462585034013	0.7194706994328897	0
46	6	3	2	1	2	1	1	3	2	499	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5804988662131518	0.7557655954631386	0
76	7	1	3	1	2	1	1	7	4	126	1	999	1	2	-0.29166666666666663	0.42322681215900104	0.046025104602510414	-0.8802721088435375	-0.7882797731569013	0
45	8	3	4	1	1	1	1	5	5	211	3	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9619047619047618	1.0	0
32	9	1	5	1	1	2	1	1	1	340	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6925170068027212	0.024574669187146014	0
32	3	1	3	1	2	1	2	3	4	132	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.7945578231292514	0.7557655954631386	0
29	3	2	1	1	2	1	1	1	3	79	2	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6988662131519275	0.024574669187146014	0
44	2	1	4	1	2	1	1	7	3	341	2	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9659863945578226	1.0	0
32	2	1	2	1	2	2	1	5	1	157	3	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9600907029478456	1.0	0
56	7	1	3	1	1	1	1	2	2	252	1	999	2	2	-0.7916666666666665	-0.40607950116913116	-0.16317991631799167	-0.7165532879818595	-0.14858223062382336	0
33	1	1	1	1	1	1	1	1	4	263	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6861678004535148	0.024574669187146014	0
39	6	1	2	1	2	1	1	7	1	215	3	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9641723356009069	1.0	0
24	5	1	3	1	1	2	1	4	5	89	2	3	1	3	-1.0	-0.8612626656274358	0.757322175732217	-0.9387755102040817	-0.5924385633270361	1
